Ten_xe,Nam_san_xuat,So_km,Xuat_xu,Kieu_dang,Hop_so,Dong_co,Mau_ngoai_that,Mau_noi_that,So_cho_ngoi,Dan_dong,Gia_ban_text,Gia_ban,Link
VinFast Lux A Plus,2021,"36,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 2.0 L,Đen,Đen,5 chỗ,RFD - Dẫn động cầu sau,560 Triệu,560000000,https://bonbanh.com/xe-vinfast-lux_a_2.0-plus-2.0-at-2021-6339232
Mercedes Benz S class S400L,2016,"40,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 3.0 L,Đen,Kem,5 chỗ,RFD - Dẫn động cầu sau,1 Tỷ 390 Triệu,1390000000,https://bonbanh.com/xe-mercedes_benz-s_class-s400l-2016-5216462
VinFast VF8 Eco,2023,"20,000 Km",Lắp ráp trong nước,SUV,Số tự động,Điện 0.2 L,Đen,Đen,5 chỗ,AWD - 4 bánh toàn thời gian,740 Triệu,740000000,https://bonbanh.com/xe-vinfast-vf8-eco-2023-6284366
Mercedes Benz S class S450L,2017,"60,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 3.0 L,Trắng,Đen,5 chỗ,RFD - Dẫn động cầu sau,1 Tỷ 720 Triệu,1720000000,https://bonbanh.com/xe-mercedes_benz-s_class-s450l-2017-6399183
Toyota Land Cruiser V6,2023,"33,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 3.4 L,Đen,Kem,7 chỗ,AWD - 4 bánh toàn thời gian,5 Tỷ 330 Triệu,5330000000,https://bonbanh.com/xe-toyota-land_cruiser-3.5-v6-2023-6465523
Toyota Corolla Cross .8HV,2021,"59,000 Km",Nhập khẩu,SUV,Số tự động,Hybrid 1.8 L,Xanh,Đen,5 chỗ,FWD - Dẫn động cầu trước,715 Triệu,715000000,https://bonbanh.com/xe-toyota-corolla_cross-1.8hv-2021-6258771
Mercedes Benz GLC 4Matic,2021,0 Km,Lắp ráp trong nước,SUV,Số tự động,Xăng 2.0 L,Trắng,Kem,5 chỗ,AWD - 4 bánh toàn thời gian,1 Tỷ 535 Triệu,1535000000,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2021-6436954
Mercedes Benz C class C200 Avantgarde Plus,2022,"36,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.5 L,Đen,Nâu,5 chỗ,RFD - Dẫn động cầu sau,1 Tỷ 379 Triệu,1379000000,https://bonbanh.com/xe-mercedes_benz-c_class-c200-avantgarde-plus-2022-6465246
Mercedes Benz Maybach S600,2015,0 Km,Nhập khẩu,Sedan,Số tự động,Xăng 6.0 L,Xanh,Kem,4 chỗ,RFD - Dẫn động cầu sau,3 Tỷ 100 Triệu,3100000000,https://bonbanh.com/xe-mercedes_benz-maybach-s600-2015-6460298
BMW X5 xDrive40i M Sport,2024,"1,500 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng 3.0 L,Đen,Nâu,5 chỗ,AWD - 4 bánh toàn thời gian,3 Tỷ 800 Triệu,3800000000,https://bonbanh.com/xe-bmw-x5-xdrive40i-m-sport-2024-6471627
VinFast Lux SA Premium,2019,"100,123 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng 2.0 L,Đỏ,Nâu,7 chỗ,AWD - 4 bánh toàn thời gian,595 Triệu,595000000,https://bonbanh.com/xe-vinfast-lux_sa_2.0-premium-2.0-at-2019-6350599
Lexus LX F Sport,2023,"40,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 3.4 L,Trắng,Đen,5 chỗ,AWD - 4 bánh toàn thời gian,8 Tỷ 350 Triệu,8350000000,https://bonbanh.com/xe-lexus-lx-600-f-sport-2023-6426527
MG Luxury,2023,"25,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng 1.5 L,Vàng,Đen,5 chỗ,FWD - Dẫn động cầu trước,415 Triệu,415000000,https://bonbanh.com/xe-mg-5-luxury-1.5-at-2023-6454886
Toyota Corolla Cross .8V,2021,"50,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 1.8 L,Đỏ,Đen,5 chỗ,FWD - Dẫn động cầu trước,685 Triệu,685000000,https://bonbanh.com/xe-toyota-corolla_cross-1.8v-2021-6350412
Mercedes Benz GLC 4Matic,2021,"52,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng 2.0 L,Đỏ,Kem,5 chỗ,AWD - 4 bánh toàn thời gian,1 Tỷ 299 Triệu,1299000000,https://bonbanh.com/xe-mercedes_benz-glc-200-4matic-2021-6454614
Hyundai Kona Turbo,2018,"90,000 Km",Lắp ráp trong nước,Crossover,Số tự động,Xăng 1.6 L,Xanh,Đen,5 chỗ,FWD - Dẫn động cầu trước,445 Triệu,445000000,https://bonbanh.com/xe-hyundai-kona-1.6-turbo-2018-6352027
Ford Ranger XLS,2019,"70,000 Km",Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu 2.2 L,Trắng,Đen,5 chỗ,RFD - Dẫn động cầu sau,529 Triệu,529000000,https://bonbanh.com/xe-ford-ranger-xls-2.2l-4x2-at-2019-6485652
Mazda Sport Signature Premium,2019,"67,000 Km",Lắp ráp trong nước,Hatchback,Số tự động,Xăng 2.0 L,Trắng,Đen,5 chỗ,FWD - Dẫn động cầu trước,545 Triệu,545000000,https://bonbanh.com/xe-mazda-3-2.0l-sport-signature-premium-2019-6470890
Mazda Sport Signature Premium,2019,"67,000 Km",Lắp ráp trong nước,Hatchback,Số tự động,Xăng 2.0 L,Trắng,Đen,5 chỗ,FWD - Dẫn động cầu trước,545 Triệu,545000000,https://bonbanh.com/xe-mazda-3-2.0l-sport-signature-premium-2019-6470890
Hyundai Accent Đặc Biệt,2022,"50,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.4 L,Trắng,Kem,5 chỗ,FWD - Dẫn động cầu trước,439 Triệu,439000000,https://bonbanh.com/xe-hyundai-accent-1.4-at-dac-biet-2022-6416147
Lexus ES,2019,"56,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng 2.5 L,Đen,Nâu,5 chỗ,FWD - Dẫn động cầu trước,1 Tỷ 750 Triệu,1750000000,https://bonbanh.com/xe-lexus-es-250-2019-6460220
VinFast Lux SA Premium,2020,"60,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng 2.0 L,Xanh,Nâu,7 chỗ,AWD - 4 bánh toàn thời gian,699 Triệu,699000000,https://bonbanh.com/xe-vinfast-lux_sa_2.0-premium-2.0-at-2020-6437351
Mercedes Benz A class A200,2013,"100,000 Km",Nhập khẩu,Hatchback,Số tự động,Xăng 1.6 L,Xanh,Đen,5 chỗ,FWD - Dẫn động cầu trước,379 Triệu,379000000,https://bonbanh.com/xe-mercedes_benz-a_class-a200-2013-6473420
Ford Territory Titanium X,2025,700 Km,Lắp ráp trong nước,SUV,Số tự động,Xăng 1.5 L,Đen,Đen,5 chỗ,FWD - Dẫn động cầu trước,875 Triệu,875000000,https://bonbanh.com/xe-ford-territory-titanium-x-1.5-at-2025-6449484
Mercedes Benz C class C200,2019,"60,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.5 L,Đỏ,Đen,5 chỗ,RFD - Dẫn động cầu sau,860 Triệu,860000000,https://bonbanh.com/xe-mercedes_benz-c_class-c200-2019-5821472
Kia Soul,2014,"56,899 Km",Nhập khẩu,SUV,Số tự động,Xăng 2.0 L,Đỏ,Nhiều màu,5 chỗ,FWD - Dẫn động cầu trước,435 Triệu,435000000,https://bonbanh.com/xe-kia-soul-2.0-at-2014-5785920
Toyota Camry SE,2014,"108,888 Km",Nhập khẩu,Sedan,Số tự động,Xăng 2.5 L,Đen,Đen,5 chỗ,FWD - Dẫn động cầu trước,650 Triệu,650000000,https://bonbanh.com/xe-toyota-camry-se-2.5-at-2014-6197069
Volvo S90 Inscription T6,2021,"90,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng 2.0 L,Đen,Nâu,5 chỗ,AWD - 4 bánh toàn thời gian,1 Tỷ 299 Triệu,1299000000,https://bonbanh.com/xe-volvo-s90-inscription-t6-awd-2021-6365643
Ford Everest Titanium Plus,2024,"27,000 Km",Nhập khẩu,SUV,Số tự động,Dầu 2.0 L,Trắng,Đen,7 chỗ,4WD - Dẫn động 4 bánh,1 Tỷ 430 Triệu,1430000000,https://bonbanh.com/xe-ford-everest-titanium-plus-2.0l-4x4-at-2024-6417144
Lexus LX Urban,2025,"7,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 3.4 L,Trắng,Vàng,7 chỗ,AWD - 4 bánh toàn thời gian,9 Tỷ 50 Triệu,9050000000,https://bonbanh.com/xe-lexus-lx-600-urban-2025-6426103
Volvo S90 LWB Ultimate B6,2023,"10,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng 2.0 L,Trắng,Nâu,5 chỗ,AWD - 4 bánh toàn thời gian,1 Tỷ 890 Triệu,1890000000,https://bonbanh.com/xe-volvo-s90-lwb-ultimate-b6-awd-2023-6478138
Lexus RX Luxury,2023,"18,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 2.4 L,Đỏ,Đen,5 chỗ,AWD - 4 bánh toàn thời gian,3 Tỷ 995 Triệu,3995000000,https://bonbanh.com/xe-lexus-rx-350-luxury-2023-6413554
Mazda,2016,"90,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.5 L,Cát,Đen,5 chỗ,FWD - Dẫn động cầu trước,362 Triệu,362000000,https://bonbanh.com/xe-mazda-3-1.5-at-2016-6475263
Honda City,2016,"130,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.5 L,Đỏ,Đen,5 chỗ,FWD - Dẫn động cầu trước,320 Triệu,320000000,https://bonbanh.com/xe-honda-city-1.5-at-2016-6374472
Toyota Corolla Cross .8G,2022,"29,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 1.8 L,Xanh,Đen,5 chỗ,FWD - Dẫn động cầu trước,675 Triệu,675000000,https://bonbanh.com/xe-toyota-corolla_cross-1.8g-2022-6475262
Ford Territory Titanium,2024,"19,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng 1.5 L,Trắng,Đen,5 chỗ,FWD - Dẫn động cầu trước,795 Triệu,795000000,https://bonbanh.com/xe-ford-territory-titanium-1.5-at-2024-6473601
Kia Soluto Deluxe,2021,"35,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.4 L,Trắng,Nhiều màu,5 chỗ,FWD - Dẫn động cầu trước,345 Triệu,345000000,https://bonbanh.com/xe-kia-soluto-1.4-at-deluxe-2021-6385912
LandRover Range Rover Evoque Dynamic,2014,"120,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 2.0 L,Trắng,Nâu,5 chỗ,AWD - 4 bánh toàn thời gian,655 Triệu,655000000,https://bonbanh.com/xe-landrover-range_rover_evoque-dynamic-2014-6409573
VinFast Lux A Tiêu chuẩn,2022,"44,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 2.0 L,Xám,Đen,5 chỗ,RFD - Dẫn động cầu sau,555 Triệu,555000000,https://bonbanh.com/xe-vinfast-lux_a_2.0-tieu-chuan-2022-6425266
VinFast Lux SA Tiêu chuẩn,2022,"65,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng 2.0 L,Bạc,Nâu,7 chỗ,RFD - Dẫn động cầu sau,635 Triệu,635000000,https://bonbanh.com/xe-vinfast-lux_sa_2.0-tieu-chuan-2022-6452947
Mini Cooper S 5Dr,2016,"87,000 Km",Nhập khẩu,Hatchback,Số tự động,Xăng 2.0 L,Xanh,Đen,5 chỗ,FWD - Dẫn động cầu trước,750 Triệu,750000000,https://bonbanh.com/xe-mini-cooper-s-5dr-2016-6435782
Toyota Alphard Luxury Executive Lounge,2023,"10,000 Km",Nhập khẩu,Van/Minivan,Số tự động,Xăng 3.5 L,Đen,Kem,7 chỗ,FWD - Dẫn động cầu trước,4 Tỷ 686 Triệu,4686000000,https://bonbanh.com/xe-toyota-alphard-luxury-executive-lounge-2023-6394809
Mazda BT50,2017,0 Km,Nhập khẩu,Bán tải / Pickup,Số tay,Dầu 2.2 L,Trắng,Xám,5 chỗ,4WD - Dẫn động 4 bánh,375 Triệu,375000000,https://bonbanh.com/xe-mazda-bt50-2.2l-4x4-mt-2017-6262719
Mercedes Benz S class S450,2021,"28,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng 3.0 L,Đen,Kem,5 chỗ,RFD - Dẫn động cầu sau,3 Tỷ 799 Triệu,3799000000,https://bonbanh.com/xe-mercedes_benz-s_class-s450-2021-6192067
Mitsubishi Outlander Premium,2023,0 Km,Lắp ráp trong nước,SUV,Số tự động,Xăng 2.0 L,Đỏ,Kem,7 chỗ,FWD - Dẫn động cầu trước,830 Triệu,830000000,https://bonbanh.com/xe-mitsubishi-outlander-premium-2.0-cvt-2023-6079479
Hyundai Creta Đặc biệt,2024,"8,000 Km",Lắp ráp trong nước,Crossover,Số tự động,Xăng 1.5 L,Đỏ,Đen,5 chỗ,FWD - Dẫn động cầu trước,620 Triệu,620000000,https://bonbanh.com/xe-hyundai-creta-dac-biet-1.5-at-2024-6466812
Mercedes Benz GLC 4Matic,2021,"26,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng 2.0 L,Đen,Kem,5 chỗ,AWD - 4 bánh toàn thời gian,1 Tỷ 399 Triệu,1399000000,https://bonbanh.com/xe-mercedes_benz-glc-200-4matic-2021-6450999
Mitsubishi Triton,2022,"57,000 Km",Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu 2.4 L,Trắng,Đen,5 chỗ,RFD - Dẫn động cầu sau,565 Triệu,565000000,https://bonbanh.com/xe-mitsubishi-triton-4x2-at-2022-6485644
Kia Quoris,2016,"80,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng 3.8 L,Đen,Nâu,5 chỗ,RFD - Dẫn động cầu sau,699 Triệu,699000000,https://bonbanh.com/xe-kia-quoris-3.8-at-2016-6480858
Suzuki Vitara,2017,"80,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 1.6 L,Trắng,Đen,5 chỗ,FWD - Dẫn động cầu trước,435 Triệu,435000000,https://bonbanh.com/xe-suzuki-vitara-1.6-at-2017-6418151
VinFast VF5 Plus,2025,"2,000 Km",Lắp ráp trong nước,SUV,Số tự động,Điện,Xám,Đen,5 chỗ,FWD - Dẫn động cầu trước,455 Triệu,455000000,https://bonbanh.com/xe-vinfast-vf5-plus-2025-6485636
Mercedes Benz C class C250,2011,"100,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.8 L,Bạc,Kem,5 chỗ,RFD - Dẫn động cầu sau,285 Triệu,285000000,https://bonbanh.com/xe-mercedes_benz-c_class-c250-2011-6130970
Peugeot,2022,"18,000 Km",Lắp ráp trong nước,Crossover,Số tự động,Xăng 1.6 L,Đồng,Đen,5 chỗ,FWD - Dẫn động cầu trước,740 Triệu,740000000,https://bonbanh.com/xe-peugeot-3008-at-2022-6139505
Kia Soluto Deluxe,2022,"35,000 Km",Lắp ráp trong nước,Sedan,Số tay,Xăng 1.4 L,Trắng,Đen,5 chỗ,FWD - Dẫn động cầu trước,295 Triệu,295000000,https://bonbanh.com/xe-kia-soluto-1.4-mt-deluxe-2022-5658808
VinFast VF8 Plus,2022,"32,000 Km",Lắp ráp trong nước,SUV,Số tự động,Điện,Trắng,Nâu,5 chỗ,AWD - 4 bánh toàn thời gian,799 Triệu,799000000,https://bonbanh.com/xe-vinfast-vf8-plus-awd-2022-6444509
Mercedes Benz GLC 4Matic,2023,"9,500 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng 2.0 L,Trắng,Nâu,5 chỗ,AWD - 4 bánh toàn thời gian,2 Tỷ 290 Triệu,2290000000,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2023-6485635
Mazda Deluxe,2022,"30,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.5 L,Đỏ,Đen,5 chỗ,FWD - Dẫn động cầu trước,505 Triệu,505000000,https://bonbanh.com/xe-mazda-3-1.5l-deluxe-2022-5862640
Kia Sorento DATH,2017,"100,000 Km",Lắp ráp trong nước,SUV,Số tự động,Dầu 2.2 L,Đỏ,Đen,7 chỗ,FWD - Dẫn động cầu trước,560 Triệu,560000000,https://bonbanh.com/xe-kia-sorento-dath-2017-6105720
Hyundai Kona ATH,2021,"50,000 Km",Lắp ráp trong nước,Crossover,Số tự động,Xăng 2.0 L,Xanh,Đen,5 chỗ,FWD - Dẫn động cầu trước,505 Triệu,505000000,https://bonbanh.com/xe-hyundai-kona-2.0-ath-2021-5952627
Peugeot GT Line,2021,0 Km,Lắp ráp trong nước,Crossover,Số tự động,Xăng 1.2 L,Trắng,Đen,5 chỗ,FWD - Dẫn động cầu trước,595 Triệu,595000000,https://bonbanh.com/xe-peugeot-2008-gt-line-1.2-at-2021-6139495
Lexus RX,2016,"79,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 3.5 L,Đen,Đen,5 chỗ,AWD - 4 bánh toàn thời gian,2 Tỷ 279 Triệu,2279000000,https://bonbanh.com/xe-lexus-rx-350-2016-6485639
Mazda CX Premium,2022,"35,000 Km",Nhập khẩu,Crossover,Số tự động,Xăng 2.0 L,Đỏ,Đen,5 chỗ,FWD - Dẫn động cầu trước,645 Triệu,645000000,https://bonbanh.com/xe-mazda-cx-30-premium-2.0-at-2022-6373497
Kia Carnival Signature .2D,2022,"90,000 Km",Lắp ráp trong nước,Van/Minivan,Số tự động,Dầu 2.2 L,Trắng,Nâu,7 chỗ,FWD - Dẫn động cầu trước,1 Tỷ 135 Triệu,1135000000,https://bonbanh.com/xe-kia-carnival-signature-2.2d-2022-6405438
Toyota Fortuner Legender,2022,0 Km,Lắp ráp trong nước,SUV,Số tự động,Dầu 2.4 L,Đen,Đen,7 chỗ,RFD - Dẫn động cầu sau,1 Tỷ 10 Triệu,1010000000,https://bonbanh.com/xe-toyota-fortuner-legender-2.4l-4x2-at-2022-6397605
VinFast VF8 S,2024,34 Km,Lắp ráp trong nước,SUV,Số tự động,Điện 0.2 L,Đen,Đen,5 chỗ,AWD - 4 bánh toàn thời gian,860 Triệu,860000000,https://bonbanh.com/xe-vinfast-vf8-s-2024-6385370
Suzuki Swift GLX,2019,"56,000 Km",Nhập khẩu,Hatchback,Số tự động,Xăng 1.2 L,Đỏ,Đen,5 chỗ,FWD - Dẫn động cầu trước,415 Triệu,415000000,https://bonbanh.com/xe-suzuki-swift-glx-1.2-at-2019-6266683
Toyota Camry .0G,2019,"66,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng 2.0 L,Đen,Kem,5 chỗ,FWD - Dẫn động cầu trước,755 Triệu,755000000,https://bonbanh.com/xe-toyota-camry-2.0g-2019-6425155
Lexus RX,2021,"92,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 2.0 L,Đen,Nâu,5 chỗ,AWD - 4 bánh toàn thời gian,2 Tỷ 680 Triệu,2680000000,https://bonbanh.com/xe-lexus-rx-300-2021-6401611
Lexus LS,2016,"120,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng 4.6 L,Đen,Nâu,5 chỗ,FWD - Dẫn động cầu trước,2 Tỷ 66 Triệu,2066000000,https://bonbanh.com/xe-lexus-ls-460l-2016-6475952
Mitsubishi Xpander Premium,2022,"60,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 1.5 L,Nâu,Đen,7 chỗ,FWD - Dẫn động cầu trước,535 Triệu,535000000,https://bonbanh.com/xe-mitsubishi-xpander-premium-1.5-at-2022-6452688
Ford Ranger XLS,2017,"100,000 Km",Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu 2.2 L,Đen,Nhiều màu,5 chỗ,RFD - Dẫn động cầu sau,420 Triệu,420000000,https://bonbanh.com/xe-ford-ranger-xls-2.2l-4x2-at-2017-6408776
Mini Cooper 3Dr,2014,"7,000 Km",Nhập khẩu,Coupe,Số tự động,Xăng 1.5 L,Xanh,Đen,4 chỗ,FWD - Dẫn động cầu trước,735 Triệu,735000000,https://bonbanh.com/xe-mini-cooper-3dr-2014-6383985
BMW X5 xDrive40i xLine,2019,"65,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 3.0 L,Trắng,Nâu,7 chỗ,AWD - 4 bánh toàn thời gian,2 Tỷ 99 Triệu,2099000000,https://bonbanh.com/xe-bmw-x5-xdrive40i-xline-2019-6341749
Mercedes Benz GLB 4Matic,2021,"54,400 Km",Nhập khẩu,SUV,Số tự động,Xăng 2.0 L,Trắng,Đen,7 chỗ,AWD - 4 bánh toàn thời gian,1 Tỷ 499 Triệu,1499000000,https://bonbanh.com/xe-mercedes_benz-glb-35-4matic-2021-6443142
Toyota Land Cruiser VX V6,2021,"50,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 4.0 L,Trắng,Nâu,7 chỗ,AWD - 4 bánh toàn thời gian,6 Tỷ,6000000000,https://bonbanh.com/xe-toyota-land_cruiser-vx-4.0-v6-2021-6406142
Ford Everest Titanium,2022,"60,000 Km",Nhập khẩu,SUV,Số tự động,Dầu 2.0 L,Đen,Đen,7 chỗ,RFD - Dẫn động cầu sau,919 Triệu,919000000,https://bonbanh.com/xe-ford-everest-titanium-2.0l-4x2-at-2022-6409086
Maserati Quattroporte V6,2016,"57,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng 3.0 L,Xanh,Nâu,5 chỗ,RFD - Dẫn động cầu sau,1 Tỷ 999 Triệu,1999000000,https://bonbanh.com/xe-maserati-quattroporte-3.0-v6-2016-5233037
Lexus RX,2018,"70,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 3.5 L,Trắng,Nâu,5 chỗ,AWD - 4 bánh toàn thời gian,2 Tỷ 699 Triệu,2699000000,https://bonbanh.com/xe-lexus-rx-350-2018-5708773
BMW Series 520i,2012,"110,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng 2.0 L,Trắng,Kem,5 chỗ,RFD - Dẫn động cầu sau,499 Triệu,499000000,https://bonbanh.com/xe-bmw-5_series-520i-2012-6398698
Hyundai Tucson ATH,2019,"14,000 Km",Lắp ráp trong nước,Crossover,Số tự động,Xăng 2.0 L,Đen,Kem,5 chỗ,FWD - Dẫn động cầu trước,635 Triệu,635000000,https://bonbanh.com/xe-hyundai-tucson-2.0-ath-2019-6478087
Ford F150 Harley Davidson V8,2018,0 Km,Nhập khẩu,Bán tải / Pickup,Số tự động,Xăng 5.0 L,Đen,Đen,5 chỗ,4WD - Dẫn động 4 bánh,3 Tỷ 950 Triệu,3950000000,https://bonbanh.com/xe-ford-f150-harley-davidson-5.0-v8-2018-6267878
VinFast Lux A Premium,2019,"40,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 2.0 L,Đen,-,5 chỗ,RFD - Dẫn động cầu sau,545 Triệu,545000000,https://bonbanh.com/xe-vinfast-lux_a_2.0-premium-2.0-at-2019-6284685
Mini Cooper 3Dr,2013,"100,000 Km",Nhập khẩu,Coupe,Số tự động,Xăng 1.6 L,Đen,Đen,4 chỗ,FWD - Dẫn động cầu trước,540 Triệu,540000000,https://bonbanh.com/xe-mini-cooper-3dr-2013-6319085
VinFast Lux A Base,2020,"90,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 2.0 L,Đỏ,Nâu,5 chỗ,RFD - Dẫn động cầu sau,465 Triệu,465000000,https://bonbanh.com/xe-vinfast-lux_a_2.0-base-2.0-at-2020-6485634
Mitsubishi Pajero Sport .4D,2022,"30,000 Km",Nhập khẩu,SUV,Số tự động,Dầu 2.4 L,Trắng,Đen,7 chỗ,4WD - Dẫn động 4 bánh,995 Triệu,995000000,https://bonbanh.com/xe-mitsubishi-pajero-sport-2.4d-4x4-at-2022-6440083
Mercedes Benz E class E180,2022,"2,300 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.5 L,Đen,Nâu,5 chỗ,RFD - Dẫn động cầu sau,1 Tỷ 439 Triệu,1439000000,https://bonbanh.com/xe-mercedes_benz-e_class-e180-2022-6468616
Hyundai SantaFe,2018,"100,000 Km",Lắp ráp trong nước,SUV,Số tự động,Dầu 2.2 L,Cát,Kem,7 chỗ,4WD - Dẫn động 4 bánh,698 Triệu,698000000,https://bonbanh.com/xe-hyundai-santafe-2.2l-4wd-2018-6471915
Lexus LX,2016,"130,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 5.7 L,Trắng,Kem,7 chỗ,AWD - 4 bánh toàn thời gian,4 Tỷ 388 Triệu,4388000000,https://bonbanh.com/xe-lexus-lx-570-2016-6463750
Kia Carens .5D Premium,2022,0 Km,Lắp ráp trong nước,SUV,Số tự động,Dầu 1.5 L,Trắng,Đen,7 chỗ,FWD - Dẫn động cầu trước,580 Triệu,580000000,https://bonbanh.com/xe-kia-carens-1.5d-premium-2022-6210751
Mercedes Benz GLC 4Matic,2023,"28,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng 2.0 L,Đen,Kem,5 chỗ,AWD - 4 bánh toàn thời gian,2 Tỷ 350 Triệu,2350000000,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2023-6371302
Nissan Terra S,2018,"90,000 Km",Nhập khẩu,SUV,Số tay,Dầu 2.5 L,Trắng,Đỏ,7 chỗ,RFD - Dẫn động cầu sau,495 Triệu,495000000,https://bonbanh.com/xe-nissan-terra-s-2.5-mt-2wd-2018-6046907
Kia Carens .5D Premium,2022,"60,000 Km",Lắp ráp trong nước,SUV,Số tự động,Dầu 1.5 L,Đen,Đen,7 chỗ,FWD - Dẫn động cầu trước,565 Triệu,565000000,https://bonbanh.com/xe-kia-carens-1.5d-premium-2022-6396798
Ford Everest Titanium,2022,"48,000 Km",Nhập khẩu,SUV,Số tự động,Dầu 2.0 L,Xanh,Đen,7 chỗ,4WD - Dẫn động 4 bánh,999 Triệu,999000000,https://bonbanh.com/xe-ford-everest-titanium-2.0l-4x4-at-2022-6361529
Mazda Luxury,2023,"55,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.5 L,Trắng,Đen,5 chỗ,FWD - Dẫn động cầu trước,588 Triệu,588000000,https://bonbanh.com/xe-mazda-3-1.5l-luxury-2023-6394374
Maserati Levante V6,2016,"60,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 3.0 L,Trắng,Nâu,5 chỗ,AWD - 4 bánh toàn thời gian,1 Tỷ 699 Triệu,1699000000,https://bonbanh.com/xe-maserati-levante-3.0-v6-2016-6466624
Ford Ranger XLS,2020,"19,000 Km",Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu 2.2 L,Đỏ,Đen,5 chỗ,RFD - Dẫn động cầu sau,545 Triệu,545000000,https://bonbanh.com/xe-ford-ranger-xls-2.2l-4x2-at-2020-6472455
Lexus LX Super Sport,2018,0 Km,Nhập khẩu,SUV,Số tự động,Xăng 5.7 L,Đen,Nâu,4 chỗ,AWD - 4 bánh toàn thời gian,6 Tỷ 480 Triệu,6480000000,https://bonbanh.com/xe-lexus-lx-570-super-sport-2018-6248176
Lexus LX Super Sport,2018,0 Km,Nhập khẩu,SUV,Số tự động,Xăng 5.7 L,Đen,Nâu,4 chỗ,AWD - 4 bánh toàn thời gian,6 Tỷ 480 Triệu,6480000000,https://bonbanh.com/xe-lexus-lx-570-super-sport-2018-6248176
Lexus RX 400h,2007,"98,000 Km",Nhập khẩu,SUV,Số tự động,Hybrid 3.3 L,Bạc,Ghi,5 chỗ,AWD - 4 bánh toàn thời gian,455 Triệu,455000000,https://bonbanh.com/xe-lexus-rx-400h-2007-6478695
