name,brand,price,url,year,origin,transmission,body_type,engine,drive,mileage_km,seats,doors,exterior_color,interior_color,condition
Mazda BT50,Mazda,355 Triệu,https://bonbanh.com/xe-mazda-bt50-2.2l-4x2-at-2017-6447800,2017,Nhập khẩu,Số tự động,Bán tải / Pickup,Dầu 2.2 L,RFD - Dẫn động cầu sau,0,5,4,Xanh,Đen,Xe đã dùng
VinFast VF8 Plus,Vinfast,855 Triệu,https://bonbanh.com/xe-vinfast-vf8-plus-2023-6393305,2023,Lắp ráp trong nước,Số tự động,SUV,Điện 0.2 L,AWD - 4 bánh toàn thời gian,0,5,5,Đen,Đen,Xe đã dùng
Toyota Fortuner .7V,Toyota,805 Triệu,https://bonbanh.com/xe-toyota-fortuner-2.7v-4x2-at-2020-6471922,2020,Nhập khẩu,Số tự động,SUV,Xăng 2.7 L,RFD - Dẫn động cầu sau,110000,7,5,Trắng,Nâu,Xe đã dùng
VinFast Lux SA Plus,Vinfast,580 Triệu,https://bonbanh.com/xe-vinfast-lux_sa_2.0-plus-2.0-at-2020-6460746,2020,Lắp ráp trong nước,Số tự động,SUV,Xăng 2.0 L,RFD - Dẫn động cầu sau,60000,7,5,Đỏ,Nâu,Xe đã dùng
Toyota Yaris .5G,Toyota,450 Triệu,https://bonbanh.com/xe-toyota-yaris-1.5g-2018-6346360,2018,Nhập khẩu,Số tự động,Hatchback,Xăng 1.5 L,FWD - Dẫn động cầu trước,45000,5,5,Đỏ,Kem,Xe đã dùng
Mitsubishi Outlander Premium,Mitsubishi,739 Triệu,https://bonbanh.com/xe-mitsubishi-outlander-premium-2.0-cvt-2022-6397463,2022,Lắp ráp trong nước,Số tự động,SUV,Xăng 2.0 L,FWD - Dẫn động cầu trước,40000,7,5,Nâu,Đen,Xe đã dùng
Audi Q5,Audi,690 Triệu,https://bonbanh.com/xe-audi-q5-2.0-at-2015-6236278,2015,Nhập khẩu,Số tự động,SUV,Xăng 2.0 L,AWD - 4 bánh toàn thời gian,75000,5,5,Đen,Đen,Xe đã dùng
Mazda Luxury,Mazda,558 Triệu,https://bonbanh.com/xe-mazda-3-1.5l-luxury-2022-6471118,2022,Lắp ráp trong nước,Số tự động,Sedan,Xăng 1.5 L,FWD - Dẫn động cầu trước,10000,5,4,Xanh,Đen,Xe đã dùng
Hyundai Tucson Turbo HTRAC Đặc biệt,Hyundai,850 Triệu,https://bonbanh.com/xe-hyundai-tucson-1.6-at-turbo-htrac-dac-biet-2022-6479518,2022,Lắp ráp trong nước,Số tự động,Crossover,Xăng 1.6 L,AWD - 4 bánh toàn thời gian,38000,5,5,Trắng,Nâu,Xe đã dùng
Mazda CX5,Mazda,580 Triệu,https://bonbanh.com/xe-mazda-cx5-2.5-at-2wd-2019-6482640,2019,Lắp ráp trong nước,Số tự động,SUV,Xăng 2.5 L,FWD - Dẫn động cầu trước,60000,5,5,Đỏ,Đen,Xe đã dùng
Hyundai Tucson Turbo HTRAC Đặc biệt,Hyundai,850 Triệu,https://bonbanh.com/xe-hyundai-tucson-1.6-at-turbo-htrac-dac-biet-2022-6479518,2022,Lắp ráp trong nước,Số tự động,Crossover,Xăng 1.6 L,AWD - 4 bánh toàn thời gian,38000,5,5,Trắng,Nâu,Xe đã dùng
Mazda CX5,Mazda,580 Triệu,https://bonbanh.com/xe-mazda-cx5-2.5-at-2wd-2019-6482640,2019,Lắp ráp trong nước,Số tự động,SUV,Xăng 2.5 L,FWD - Dẫn động cầu trước,60000,5,5,Đỏ,Đen,Xe đã dùng
Hyundai Tucson Đặc biệt,Hyundai,680 Triệu,https://bonbanh.com/xe-hyundai-tucson-2.0-at-dac-biet-2021-6477460,2021,Lắp ráp trong nước,Số tự động,Crossover,Xăng 2.0 L,FWD - Dẫn động cầu trước,55000,5,5,Đỏ,Kem,Xe đã dùng
Toyota Corolla altis .8G,Toyota,635 Triệu,https://bonbanh.com/xe-toyota-corolla_altis-1.8g-2022-6482355,2022,Nhập khẩu,Số tự động,Sedan,Xăng 1.8 L,FWD - Dẫn động cầu trước,21000,5,4,Đen,Kem,Xe đã dùng
Lexus RX,Lexus,2 Tỷ 50 Triệu,https://bonbanh.com/xe-lexus-rx-350-2016-6464034,2016,Nhập khẩu,Số tự động,SUV,Xăng 3.5 L,AWD - 4 bánh toàn thời gian,69000,5,5,Đen,Kem,Xe đã dùng
Volkswagen Teramont,Volkswagen,1 Tỷ 450 Triệu,https://bonbanh.com/xe-volkswagen-teramont-2.0-at-2021-6437044,2021,Nhập khẩu,Số tự động,SUV,Xăng 2.0 L,AWD - 4 bánh toàn thời gian,0,7,5,Trắng,Đen,Xe đã dùng
VinFast Fadil Premium,Vinfast,295 Triệu,https://bonbanh.com/xe-vinfast-fadil-1.4-at-premium-2020-6472456,2020,Lắp ráp trong nước,Số tự động,Hatchback,Xăng 1.4 L,FWD - Dẫn động cầu trước,90000,5,5,Trắng,Đen,Xe đã dùng
Mercedes Benz E class E250,Mercedes,535 Triệu,https://bonbanh.com/xe-mercedes_benz-e_class-e250-2014-6467350,2014,Lắp ráp trong nước,Số tự động,Sedan,Xăng 2.0 L,RFD - Dẫn động cầu sau,79000,5,4,Trắng,Nâu,Xe đã dùng
Lexus RX,Lexus,1 Tỷ 680 Triệu,https://bonbanh.com/xe-lexus-rx-200t-2016-6482293,2016,Nhập khẩu,Số tự động,SUV,Xăng 2.0 L,AWD - 4 bánh toàn thời gian,92000,5,5,Đỏ,Nâu,Xe đã dùng
Mercedes Benz GLC 4Matic,Mercedes,1 Tỷ 680 Triệu,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2022-6468610,2022,Lắp ráp trong nước,Số tự động,SUV,Xăng 2.0 L,AWD - 4 bánh toàn thời gian,26000,5,5,Đen,Đen,Xe đã dùng
Mercedes Benz S class S500L,Mercedes,1 Tỷ 266 Triệu,https://bonbanh.com/xe-mercedes_benz-s_class-s500l-2014-6457640,2014,Lắp ráp trong nước,Số tự động,Sedan,Xăng 4.7 L,RFD - Dẫn động cầu sau,0,5,4,Trắng,Nâu,Xe đã dùng
Toyota Land Cruiser V8,Toyota,4 Tỷ 600 Triệu,https://bonbanh.com/xe-toyota-land_cruiser-4.6-v8-2020-6440066,2020,Nhập khẩu,Số tự động,SUV,Xăng 4.6 L,AWD - 4 bánh toàn thời gian,17000,8,5,Trắng,Nâu,Xe đã dùng
Lexus LX Super Sport,Lexus,4 Tỷ 600 Triệu,https://bonbanh.com/xe-lexus-lx-570-super-sport-2016-6479509,2016,Nhập khẩu,Số tự động,SUV,Xăng 5.7 L,AWD - 4 bánh toàn thời gian,81000,7,5,Đen,Kem,Xe đã dùng
Toyota Land Cruiser VX V8,Toyota,2 Tỷ 880 Triệu,https://bonbanh.com/xe-toyota-land_cruiser-vx-4.6-v8-2016-6481487,2016,Nhập khẩu,Số tự động,SUV,Xăng 4.6 L,AWD - 4 bánh toàn thời gian,80000,8,5,Vàng,Kem,Xe đã dùng
Toyota Fortuner .7V,Toyota,720 Triệu,https://bonbanh.com/xe-toyota-fortuner-2.7v-4x2-at-2019-6139479,2019,Nhập khẩu,Số tự động,SUV,Xăng 2.7 L,RFD - Dẫn động cầu sau,150000,7,5,Đen,Nâu,Xe đã dùng
Hyundai SantaFe Cao cấp HTRAC,Hyundai,1 Tỷ 150 Triệu,https://bonbanh.com/xe-hyundai-santafe-cao-cap-2.2l-htrac-2022-6249105,2022,Lắp ráp trong nước,Số tự động,SUV,Dầu 2.2 L,AWD - 4 bánh toàn thời gian,56000,7,5,Đỏ,Nâu,Xe đã dùng
Mazda,Mazda,430 Triệu,https://bonbanh.com/xe-mazda-3-1.5-at-2018-6471192,2018,Lắp ráp trong nước,Số tự động,Hatchback,Xăng 1.5 L,FWD - Dẫn động cầu trước,90000,5,5,Xanh,Đen,Xe đã dùng
Rolls Royce Ghost Series II,Rolls,10 Tỷ,https://bonbanh.com/xe-rolls_royce-ghost-series-ii-2015-6450978,2015,Nhập khẩu,Số tự động,Sedan,Xăng 6.6 L,AWD - 4 bánh toàn thời gian,24000,4,4,Đen,Kem,Xe đã dùng
Kia Carnival Signature .5G,Kia,1 Tỷ 210 Triệu,https://bonbanh.com/xe-kia-carnival-signature-3.5g-2022-6481521,2022,Lắp ráp trong nước,Số tự động,Van/Minivan,Xăng 3.5 L,FWD - Dẫn động cầu trước,55000,7,5,Đen,Nâu,Xe đã dùng
Mercedes Benz GLC 4Matic,Mercedes,2 Tỷ 299 Triệu,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2023-6443072,2023,Lắp ráp trong nước,Số tự động,SUV,Hybrid 2.0 L,AWD - 4 bánh toàn thời gian,28000,5,5,Đỏ,Đen,Xe đã dùng
Kia Carnival Signature .5G,Kia,1 Tỷ 210 Triệu,https://bonbanh.com/xe-kia-carnival-signature-3.5g-2022-6481521,2022,Lắp ráp trong nước,Số tự động,Van/Minivan,Xăng 3.5 L,FWD - Dẫn động cầu trước,55000,7,5,Đen,Nâu,Xe đã dùng
Mercedes Benz GLC 4Matic,Mercedes,2 Tỷ 299 Triệu,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2023-6443072,2023,Lắp ráp trong nước,Số tự động,SUV,Hybrid 2.0 L,AWD - 4 bánh toàn thời gian,28000,5,5,Đỏ,Đen,Xe đã dùng
Peugeot Allure,Peugeot,669 Triệu,https://bonbanh.com/xe-peugeot-2008-allure-1.2-at-2025-6452879,2025,Lắp ráp trong nước,Số tự động,Crossover,Xăng 1.2 L,FWD - Dẫn động cầu trước,5000,5,5,Trắng,Đen,Xe đã dùng
Mercedes Benz GLS 4Matic,Mercedes,3 Tỷ 899 Triệu,https://bonbanh.com/xe-mercedes_benz-gls-450-4matic-2021-6202287,2021,Nhập khẩu,Số tự động,SUV,Xăng 3.0 L,AWD - 4 bánh toàn thời gian,59000,7,5,Đen,Đen,Xe đã dùng
Ford Ranger XLS,Ford,570 Triệu,https://bonbanh.com/xe-ford-ranger-xls-2.2l-4x2-at-2021-6480955,2021,Lắp ráp trong nước,Số tự động,Bán tải / Pickup,Dầu 2.2 L,RFD - Dẫn động cầu sau,58000,5,4,Đen,Đen,Xe đã dùng
Kia Sonet Luxury,Kia,520 Triệu,https://bonbanh.com/xe-kia-sonet-luxury-1.5-at-2023-6389904,2023,Lắp ráp trong nước,Số tự động,Crossover,Xăng 1.5 L,FWD - Dẫn động cầu trước,27000,5,5,Đen,Đen,Xe đã dùng
Porsche Panamera V6,Porsche,3 Tỷ 400 Triệu,https://bonbanh.com/xe-porsche-panamera-3.0-v6-2018-6485753,2018,Nhập khẩu,Số tự động,Sedan,Xăng 3.0 L,RFD - Dẫn động cầu sau,62000,4,4,Đen,Kem,Xe đã dùng
Toyota Land Cruiser V6,Toyota,5 Tỷ 100 Triệu,https://bonbanh.com/xe-toyota-land_cruiser-3.5-v6-2023-6251274,2023,Nhập khẩu,Số tự động,SUV,Xăng 3.4 L,AWD - 4 bánh toàn thời gian,12000,7,5,Trắng,Kem,Xe đã dùng
Toyota Fortuner,Toyota,920 Triệu,https://bonbanh.com/xe-toyota-fortuner-2.4l-4x2-at-2022-6460030,2022,Lắp ráp trong nước,Số tự động,SUV,Dầu 2.4 L,RFD - Dẫn động cầu sau,62139,7,5,Trắng,Đen,Xe đã dùng
Mercedes Benz GLC,Mercedes,1 Tỷ 299 Triệu,https://bonbanh.com/xe-mercedes_benz-glc-200-2021-6447847,2021,Lắp ráp trong nước,Số tự động,SUV,Xăng 2.0 L,RFD - Dẫn động cầu sau,26000,5,5,Đen,Kem,Xe đã dùng
Ford Ranger Wildtrak,Ford,575 Triệu,https://bonbanh.com/xe-ford-ranger-wildtrak-2.0l-4x4-at-2018-6480937,2018,Nhập khẩu,Số tự động,Bán tải / Pickup,Dầu 2.0 L,4WD - Dẫn động 4 bánh,100000,5,4,Vàng,Đen,Xe đã dùng
Mercedes Benz G class G63 AMG,Mercedes,8 Tỷ 250 Triệu,https://bonbanh.com/xe-mercedes_benz-g_class-g63-amg-2021-6465899,2021,Nhập khẩu,Số tự động,SUV,Xăng 4.0 L,AWD - 4 bánh toàn thời gian,50000,5,5,Đen,Đỏ,Xe đã dùng
Toyota Land Cruiser V6,Toyota,5 Tỷ 479 Triệu,https://bonbanh.com/xe-toyota-land_cruiser-3.5-v6-2024-6337187,2024,Nhập khẩu,Số tự động,SUV,Xăng 3.4 L,AWD - 4 bánh toàn thời gian,8000,7,5,Đen,Kem,Xe đã dùng
VinFast Lux A Base,Vinfast,515 Triệu,https://bonbanh.com/xe-vinfast-lux_a_2.0-base-2.0-at-2020-6450929,2020,Lắp ráp trong nước,Số tự động,Sedan,Xăng 2.0 L,RFD - Dẫn động cầu sau,61000,5,4,Đen,Nâu,Xe đã dùng
Ford Everest Titanium,Ford,1 Tỷ 295 Triệu,https://bonbanh.com/xe-ford-everest-titanium-2.0l-4x2-at-2025-6476370,2025,Nhập khẩu,Số tự động,SUV,Dầu 2.0 L,RFD - Dẫn động cầu sau,10000,7,5,Đen,Đen,Xe đã dùng
Lexus ES,Lexus,1 Tỷ 180 Triệu,https://bonbanh.com/xe-lexus-es-250-2016-6439006,2016,Nhập khẩu,Số tự động,Sedan,Xăng 2.5 L,FWD - Dẫn động cầu trước,96000,5,4,Đen,Nâu,Xe đã dùng
VinFast Lux SA Plus,Vinfast,699 Triệu,https://bonbanh.com/xe-vinfast-lux_sa_2.0-plus-2.0-at-2021-6437346,2021,Lắp ráp trong nước,Số tự động,SUV,Xăng 2.0 L,RFD - Dẫn động cầu sau,63000,7,5,Đen,Nâu,Xe đã dùng
Lexus RX,Lexus,2 Tỷ 980 Triệu,https://bonbanh.com/xe-lexus-rx-300-2021-6466134,2021,Nhập khẩu,Số tự động,SUV,Xăng 2.0 L,AWD - 4 bánh toàn thời gian,47000,5,5,Vàng,Nâu,Xe đã dùng
Mitsubishi Outlander,Mitsubishi,595 Triệu,https://bonbanh.com/xe-mitsubishi-outlander-2.0-cvt-2020-6206356,2020,Lắp ráp trong nước,Số tự động,SUV,Xăng 2.0 L,FWD - Dẫn động cầu trước,69000,7,5,Đen,Đen,Xe đã dùng
Audi A8 L TFSI Quattro,Audi,3 Tỷ 990 Triệu,https://bonbanh.com/xe-audi-a8-l-55-tfsi-quattro-2022-6349643,2022,Nhập khẩu,Số tự động,Sedan,Xăng 3.0 L,AWD - 4 bánh toàn thời gian,20000,5,4,Xanh,Nâu,Xe đã dùng
Mitsubishi Outlander,Mitsubishi,595 Triệu,https://bonbanh.com/xe-mitsubishi-outlander-2.0-cvt-2020-6206356,2020,Lắp ráp trong nước,Số tự động,SUV,Xăng 2.0 L,FWD - Dẫn động cầu trước,69000,7,5,Đen,Đen,Xe đã dùng
Audi A8 L TFSI Quattro,Audi,3 Tỷ 990 Triệu,https://bonbanh.com/xe-audi-a8-l-55-tfsi-quattro-2022-6349643,2022,Nhập khẩu,Số tự động,Sedan,Xăng 3.0 L,AWD - 4 bánh toàn thời gian,20000,5,4,Xanh,Nâu,Xe đã dùng
Lexus RX,Lexus,790 Triệu,https://bonbanh.com/xe-lexus-rx-350-2010-6471600,2010,Nhập khẩu,Số tự động,SUV,Xăng 3.5 L,FWD - Dẫn động cầu trước,86000,5,5,Trắng,Kem,Xe đã dùng
Mercedes Benz GLC 4Matic,Mercedes,1 Tỷ 450 Triệu,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2020-6427313,2020,Lắp ráp trong nước,Số tự động,SUV,Xăng 2.0 L,AWD - 4 bánh toàn thời gian,50000,5,5,Đen,Kem,Xe đã dùng
Hyundai SantaFe Cao cấp HTRAC,Hyundai,1 Tỷ 30 Triệu,https://bonbanh.com/xe-hyundai-santafe-cao-cap-2.5l-htrac-2022-6347077,2022,Lắp ráp trong nước,Số tự động,SUV,Xăng 2.5 L,AWD - 4 bánh toàn thời gian,70000,7,5,Trắng,Nâu,Xe đã dùng
Mercedes Benz S class S450L Luxury,Mercedes,2 Tỷ 790 Triệu,https://bonbanh.com/xe-mercedes_benz-s_class-s450l-luxury-2020-6335142,2020,Lắp ráp trong nước,Số tự động,Sedan,Xăng 3.0 L,RFD - Dẫn động cầu sau,40000,5,4,Trắng,Nâu,Xe đã dùng
BMW X4 xDrive20i M Sport,BMW,1 Tỷ 790 Triệu,https://bonbanh.com/xe-bmw-x4-xdrive20i-m-sport-2020-6439368,2020,Nhập khẩu,Số tự động,SUV,Xăng 2.0 L,AWD - 4 bánh toàn thời gian,63000,5,5,Trắng,Nâu,Xe đã dùng
Mercedes Benz GLK Class GLK300 4Matic,Mercedes,340 Triệu,https://bonbanh.com/xe-mercedes_benz-glk_class-glk300-4matic-2011-6374686,2011,Lắp ráp trong nước,Số tự động,SUV,Xăng 3.0 L,AWD - 4 bánh toàn thời gian,117000,5,5,Đen,Đen,Xe đã dùng
Hyundai Accent Tiêu Chuẩn,Hyundai,340 Triệu,https://bonbanh.com/xe-hyundai-accent-1.4-mt-tieu-chuan-2022-6364182,2022,Lắp ráp trong nước,Số tay,Sedan,Xăng 1.4 L,FWD - Dẫn động cầu trước,39000,5,4,Trắng,Đen,Xe đã dùng
Toyota Yaris,Toyota,268 Triệu,https://bonbanh.com/xe-toyota-yaris-1.5-at-2012-6235745,2012,Nhập khẩu,Số tự động,Hatchback,Xăng 1.5 L,FWD - Dẫn động cầu trước,80000,5,5,Bạc,Đen,Xe đã dùng
Mercedes Benz E class E300 AMG,Mercedes,1 Tỷ 299 Triệu,https://bonbanh.com/xe-mercedes_benz-e_class-e300-amg-2019-6326776,2019,Lắp ráp trong nước,Số tự động,Sedan,Xăng 2.0 L,RFD - Dẫn động cầu sau,42000,5,4,Đỏ,Đen,Xe đã dùng
Mercedes Benz GLC 4Matic,Mercedes,1 Tỷ 599 Triệu,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2021-6290761,2021,Lắp ráp trong nước,Số tự động,SUV,Xăng 2.0 L,AWD - 4 bánh toàn thời gian,80000,5,5,Trắng,Đen,Xe đã dùng
Lexus ES,Lexus,2 Tỷ 150 Triệu,https://bonbanh.com/xe-lexus-es-250-2022-6475871,2022,Nhập khẩu,Số tự động,Sedan,Xăng 2.5 L,FWD - Dẫn động cầu trước,29000,5,4,Đen,Nâu,Xe đã dùng
Ford Ranger Wildtrak,Ford,570 Triệu,https://bonbanh.com/xe-ford-ranger-wildtrak-2.0l-4x2-at-2019-6307421,2019,Nhập khẩu,Số tự động,Bán tải / Pickup,Dầu 2.0 L,RFD - Dẫn động cầu sau,84000,5,4,Ghi,Đen,Xe đã dùng
Toyota Land Cruiser V8,Toyota,3 Tỷ 990 Triệu,https://bonbanh.com/xe-toyota-land_cruiser-5.7-v8-2016-6423921,2016,Nhập khẩu,Số tự động,SUV,Xăng 5.7 L,AWD - 4 bánh toàn thời gian,177549,8,5,Trắng,Đỏ,Xe đã dùng
Hyundai i20,Hyundai,205 Triệu,https://bonbanh.com/xe-hyundai-i20-1.4-at-2011-6458284,2011,Nhập khẩu,Số tự động,Hatchback,Xăng 1.4 L,FWD - Dẫn động cầu trước,0,5,5,Xanh,Kem,Xe đã dùng
Mercedes Benz CLA class CLA 4Matic,Mercedes,630 Triệu,https://bonbanh.com/xe-mercedes_benz-cla_class-cla-250-4matic-2015-6415535,2015,Nhập khẩu,Số tự động,Sedan,Xăng 2.0 L,AWD - 4 bánh toàn thời gian,80000,5,4,Trắng,Đen,Xe đã dùng
Toyota Land Cruiser V8,Toyota,3 Tỷ 999 Triệu,https://bonbanh.com/xe-toyota-land_cruiser-4.6-v8-2020-6397411,2020,Nhập khẩu,Số tự động,SUV,Xăng 4.6 L,AWD - 4 bánh toàn thời gian,66666,8,5,Đen,Đen,Xe đã dùng
Volkswagen Tiguan Allspace,Volkswagen,768 Triệu,https://bonbanh.com/xe-volkswagen-tiguan-allspace-2017-6441207,2017,Nhập khẩu,Số tự động,SUV,Xăng 2.0 L,AWD - 4 bánh toàn thời gian,90000,7,5,Đen,Đen,Xe đã dùng
LandRover Range Rover Autobiography LWB I6,Range Rover,11 Tỷ 390 Triệu,https://bonbanh.com/xe-landrover-range_rover-autobiography-lwb-3.0-i6-awd-2023-6481484,2023,Nhập khẩu,Số tự động,SUV,Xăng 3.0 L,AWD - 4 bánh toàn thời gian,10000,5,5,Đen,Nâu,Xe đã dùng
Mitsubishi Outlander,Mitsubishi,595 Triệu,https://bonbanh.com/xe-mitsubishi-outlander-2.0-cvt-2020-6206356,2020,Lắp ráp trong nước,Số tự động,SUV,Xăng 2.0 L,FWD - Dẫn động cầu trước,69000,7,5,Đen,Đen,Xe đã dùng
Audi A8 L TFSI Quattro,Audi,3 Tỷ 990 Triệu,https://bonbanh.com/xe-audi-a8-l-55-tfsi-quattro-2022-6349643,2022,Nhập khẩu,Số tự động,Sedan,Xăng 3.0 L,AWD - 4 bánh toàn thời gian,20000,5,4,Xanh,Nâu,Xe đã dùng
Lexus RX,Lexus,790 Triệu,https://bonbanh.com/xe-lexus-rx-350-2010-6471600,2010,Nhập khẩu,Số tự động,SUV,Xăng 3.5 L,FWD - Dẫn động cầu trước,86000,5,5,Trắng,Kem,Xe đã dùng
Mercedes Benz GLC 4Matic,Mercedes,1 Tỷ 450 Triệu,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2020-6427313,2020,Lắp ráp trong nước,Số tự động,SUV,Xăng 2.0 L,AWD - 4 bánh toàn thời gian,50000,5,5,Đen,Kem,Xe đã dùng
Hyundai SantaFe Cao cấp HTRAC,Hyundai,1 Tỷ 30 Triệu,https://bonbanh.com/xe-hyundai-santafe-cao-cap-2.5l-htrac-2022-6347077,2022,Lắp ráp trong nước,Số tự động,SUV,Xăng 2.5 L,AWD - 4 bánh toàn thời gian,70000,7,5,Trắng,Nâu,Xe đã dùng
Mercedes Benz S class S450L Luxury,Mercedes,2 Tỷ 790 Triệu,https://bonbanh.com/xe-mercedes_benz-s_class-s450l-luxury-2020-6335142,2020,Lắp ráp trong nước,Số tự động,Sedan,Xăng 3.0 L,RFD - Dẫn động cầu sau,40000,5,4,Trắng,Nâu,Xe đã dùng
BMW X4 xDrive20i M Sport,BMW,1 Tỷ 790 Triệu,https://bonbanh.com/xe-bmw-x4-xdrive20i-m-sport-2020-6439368,2020,Nhập khẩu,Số tự động,SUV,Xăng 2.0 L,AWD - 4 bánh toàn thời gian,63000,5,5,Trắng,Nâu,Xe đã dùng
Mercedes Benz GLK Class GLK300 4Matic,Mercedes,340 Triệu,https://bonbanh.com/xe-mercedes_benz-glk_class-glk300-4matic-2011-6374686,2011,Lắp ráp trong nước,Số tự động,SUV,Xăng 3.0 L,AWD - 4 bánh toàn thời gian,117000,5,5,Đen,Đen,Xe đã dùng
Hyundai Accent Tiêu Chuẩn,Hyundai,340 Triệu,https://bonbanh.com/xe-hyundai-accent-1.4-mt-tieu-chuan-2022-6364182,2022,Lắp ráp trong nước,Số tay,Sedan,Xăng 1.4 L,FWD - Dẫn động cầu trước,39000,5,4,Trắng,Đen,Xe đã dùng
Toyota Yaris,Toyota,268 Triệu,https://bonbanh.com/xe-toyota-yaris-1.5-at-2012-6235745,2012,Nhập khẩu,Số tự động,Hatchback,Xăng 1.5 L,FWD - Dẫn động cầu trước,80000,5,5,Bạc,Đen,Xe đã dùng
Mercedes Benz E class E300 AMG,Mercedes,1 Tỷ 299 Triệu,https://bonbanh.com/xe-mercedes_benz-e_class-e300-amg-2019-6326776,2019,Lắp ráp trong nước,Số tự động,Sedan,Xăng 2.0 L,RFD - Dẫn động cầu sau,42000,5,4,Đỏ,Đen,Xe đã dùng
Mercedes Benz GLC 4Matic,Mercedes,1 Tỷ 599 Triệu,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2021-6290761,2021,Lắp ráp trong nước,Số tự động,SUV,Xăng 2.0 L,AWD - 4 bánh toàn thời gian,80000,5,5,Trắng,Đen,Xe đã dùng
Lexus ES,Lexus,2 Tỷ 150 Triệu,https://bonbanh.com/xe-lexus-es-250-2022-6475871,2022,Nhập khẩu,Số tự động,Sedan,Xăng 2.5 L,FWD - Dẫn động cầu trước,29000,5,4,Đen,Nâu,Xe đã dùng
Ford Ranger Wildtrak,Ford,570 Triệu,https://bonbanh.com/xe-ford-ranger-wildtrak-2.0l-4x2-at-2019-6307421,2019,Nhập khẩu,Số tự động,Bán tải / Pickup,Dầu 2.0 L,RFD - Dẫn động cầu sau,84000,5,4,Ghi,Đen,Xe đã dùng
Toyota Land Cruiser V8,Toyota,3 Tỷ 990 Triệu,https://bonbanh.com/xe-toyota-land_cruiser-5.7-v8-2016-6423921,2016,Nhập khẩu,Số tự động,SUV,Xăng 5.7 L,AWD - 4 bánh toàn thời gian,177549,8,5,Trắng,Đỏ,Xe đã dùng
Hyundai i20,Hyundai,205 Triệu,https://bonbanh.com/xe-hyundai-i20-1.4-at-2011-6458284,2011,Nhập khẩu,Số tự động,Hatchback,Xăng 1.4 L,FWD - Dẫn động cầu trước,0,5,5,Xanh,Kem,Xe đã dùng
Mercedes Benz CLA class CLA 4Matic,Mercedes,630 Triệu,https://bonbanh.com/xe-mercedes_benz-cla_class-cla-250-4matic-2015-6415535,2015,Nhập khẩu,Số tự động,Sedan,Xăng 2.0 L,AWD - 4 bánh toàn thời gian,80000,5,4,Trắng,Đen,Xe đã dùng
Toyota Land Cruiser V8,Toyota,3 Tỷ 999 Triệu,https://bonbanh.com/xe-toyota-land_cruiser-4.6-v8-2020-6397411,2020,Nhập khẩu,Số tự động,SUV,Xăng 4.6 L,AWD - 4 bánh toàn thời gian,66666,8,5,Đen,Đen,Xe đã dùng
Volkswagen Tiguan Allspace,Volkswagen,768 Triệu,https://bonbanh.com/xe-volkswagen-tiguan-allspace-2017-6441207,2017,Nhập khẩu,Số tự động,SUV,Xăng 2.0 L,AWD - 4 bánh toàn thời gian,90000,7,5,Đen,Đen,Xe đã dùng
LandRover Range Rover Autobiography LWB I6,Range Rover,11 Tỷ 390 Triệu,https://bonbanh.com/xe-landrover-range_rover-autobiography-lwb-3.0-i6-awd-2023-6481484,2023,Nhập khẩu,Số tự động,SUV,Xăng 3.0 L,AWD - 4 bánh toàn thời gian,10000,5,5,Đen,Nâu,Xe đã dùng
LandRover Range Rover Autobiography LWB I6,Range Rover,11 Tỷ 390 Triệu,https://bonbanh.com/xe-landrover-range_rover-autobiography-lwb-3.0-i6-awd-2023-6481484,2023,Nhập khẩu,Số tự động,SUV,Xăng 3.0 L,AWD - 4 bánh toàn thời gian,10000,5,5,Đen,Nâu,Xe đã dùng
Hyundai Grand Starex,Hyundai,460 Triệu,https://bonbanh.com/xe-hyundai-grand_starex-2.5-mt-2016-6282874,2016,Nhập khẩu,Số tay,Van/Minivan,Dầu 2.5 L,RFD - Dẫn động cầu sau,158497,9,5,Bạc,Kem,Xe đã dùng
Ford Ranger XLT,Ford,370 Triệu,https://bonbanh.com/xe-ford-ranger-xlt-2.2l-4x4-mt-2016-6375257,2016,Nhập khẩu,Số tay,Bán tải / Pickup,Dầu 2.2 L,4WD - Dẫn động 4 bánh,110000,5,4,Trắng,-,Xe đã dùng
Mercedes Benz E class E180,Mercedes,1 Tỷ 275 Triệu,https://bonbanh.com/xe-mercedes_benz-e_class-e180-2021-6260066,2021,Lắp ráp trong nước,Số tự động,Sedan,Xăng 1.5 L,RFD - Dẫn động cầu sau,0,5,4,Đen,Nâu,Xe đã dùng
LandRover Range Rover Evoque HSE,Range Rover,1 Tỷ 150 Triệu,https://bonbanh.com/xe-landrover-range_rover_evoque-hse-2017-6440523,2017,Nhập khẩu,Số tự động,SUV,Xăng 2.0 L,AWD - 4 bánh toàn thời gian,63000,5,5,Trắng,Đen,Xe đã dùng
